Data;hora;Moeda;Qtd;Tipo;Operação;Status
2020-06-29;11:06:54;Bitcoin;0,10020148999999999;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-07-02;19:41:50;Ethereum;1,009;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-07-02;19:47:14;Ethereum;1,0092146800000001;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-07-09;00:53:54;Ethereum;2,00507576;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-07-09;00:56:42;Bitcoin;0,06650231999999999;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-07-09;09:44:49;Bitcoin;0,052919600000000004;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-07-09;09:48:50;Ethereum;2,00156627;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-07-16;17:07:41;Ethereum;1,570874;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-08-12;11:07:10;Ethereum;1,335;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-08-18;12:32:52;Bitcoin;0,17898138;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-08-29;18:00:47;XRP;20,1;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-08-29;18:04:11;XRP;4983,756747;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-09-18;16:31:17;Ethereum;0,3;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-11-17;06:51:15;Bitcoin;0,07782537;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-11-17;06:56:51;Ethereum;4,214453219999999;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2020-12-16;09:17:11;XRP;2086,641536;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2021-01-06;09:09:23;Ethereum;0,56971775;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2021-07-18;06:28:55;Ethereum;0,86865907;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-02-02;09:50:26;Bitcoin;0,01329281;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-02-02;10:08:54;Bitcoin;0,02423898;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-03-02;21:37:58;cReal;138,71;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2022-03-03;07:44:52;Bitcoin;0,13320337;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-03-15;16:46:55;Bitcoin;0,09876505000000001;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-03-24;12:47:09;Bitcoin;0,11978125;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-04-01;20:51:51;cReal;250,0;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2022-05-02;13:19:29;cReal;74,0;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2022-05-06;09:04:48;Bitcoin;0,10101281;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-06-03;14:55:52;cReal;40,35;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2022-06-17;14:22:11;Bitcoin;0,11397516;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-06-29;15:30:12;Bitcoin;0,04871426;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2022-07-05;11:45:05;cReal;73,68;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2023-01-18;09:37:09;Bitcoin;0,051002000000000006;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-02-07;08:34:17;cReal;27,49;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2023-03-10;12:43:51;Bitcoin;0,098458;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-04-13;11:42:59;cReal;50,51;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2023-05-05;05:51:11;Bitcoin;0,102809;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-06-02;11:15:59;Celo;0,00413444;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2023-06-23;08:52:19;Bitcoin;0,13211219999999999;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-06-27;07:39:10;Bitcoin;0,037339439999999995;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-06-28;09:01:43;Ethereum;1,24414845;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-06-29;13:55:46;Bitcoin;0,02000684;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-07-03;16:47:45;Bitcoin;0,02901259;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-07-05;16:54:46;cReal;75,26;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2023-07-10;17:09:04;cReal;193,12;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2023-07-11;06:40:11;Bitcoin;0,03852295;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-08-10;16:03:02;cReal;50,79;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
2023-11-07;15:22:11;Ethereum;1,00328575;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-11-08;16:24:39;Ethereum;1,11831706;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-11-10;06:45:11;Ethereum;1,0502724;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-11-30;18:46:44;Bitcoin;0,03640969;SAÍDA;Retirada;RETIRADA PARA MATCH EXTERNO
2023-12-08;19:54:01;cReal;182,97;ENTRADA;Depósito;DEPÓSITO SEM ORIGEM (Verificar)
